"Temperature (C)","Pressure (kpa)","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
20,1009,17,330,7,"2019-05-11 08:00:00"
22,1010,17,328,6,"2019-05-11 09:00:00"
22,1009,12,312,9,"2019-05-11 10:00:00"
24,1009,7,296,12,"2019-05-11 11:00:00"
24,1009,3,280,15,"2019-05-11 12:00:00"
24,1008,2,278,17,"2019-05-11 13:00:00"
24,1008,2,277,20,"2019-05-11 14:00:00"
24,1007,2,275,22,"2019-05-11 15:00:00"
22,1007,2,274,21,"2019-05-11 16:00:00"
20,1007,2,273,20,"2019-05-11 17:00:00"
20,1007,1,272,19,"2019-05-11 18:00:00"
18,1007,1,271,17,"2019-05-11 19:00:00"
14,1007,1,270,15,"2019-05-11 20:00:00"
12,1008,1,268,13,"2019-05-11 21:00:00"
12,1008,8,272,12,"2019-05-11 22:00:00"
12,1008,14,276,11,"2019-05-11 23:00:00"
12,1008,21,280,10,"2019-05-12 00:00:00"
14,1007,32,284,10,"2019-05-12 01:00:00"
16,1007,43,288,9,"2019-05-12 02:00:00"
18,1007,54,292,8,"2019-05-12 03:00:00"
18,1007,50,285,8,"2019-05-12 04:00:00"
18,1007,47,277,7,"2019-05-12 05:00:00"
18,1008,43,270,6,"2019-05-12 06:00:00"
18,1008,35,258,7,"2019-05-12 07:00:00"
20,1008,28,245,8,"2019-05-12 08:00:00"
20,1009,20,233,9,"2019-05-12 09:00:00"
20,1009,14,241,11,"2019-05-12 10:00:00"
22,1008,9,249,13,"2019-05-12 11:00:00"
22,1008,3,257,15,"2019-05-12 12:00:00"
22,1008,3,260,17,"2019-05-12 13:00:00"
22,1007,3,262,18,"2019-05-12 14:00:00"
22,1007,3,265,19,"2019-05-12 15:00:00"
22,1007,3,264,19,"2019-05-12 16:00:00"
22,1007,4,262,18,"2019-05-12 17:00:00"
22,1007,4,261,17,"2019-05-12 18:00:00"
22,1007,6,257,15,"2019-05-12 19:00:00"
22,1007,8,253,14,"2019-05-12 20:00:00"
20,1008,11,249,12,"2019-05-12 21:00:00"
20,1008,17,254,11,"2019-05-12 22:00:00"
20,1008,24,258,10,"2019-05-12 23:00:00"
20,1008,30,263,9,"2019-05-13 00:00:00"
18,1008,36,271,8,"2019-05-13 01:00:00"
18,1007,43,279,7,"2019-05-13 02:00:00"
18,1007,49,288,7,"2019-05-13 03:00:00"
18,1007,50,293,7,"2019-05-13 04:00:00"
18,1007,51,299,7,"2019-05-13 05:00:00"
18,1007,52,305,7,"2019-05-13 06:00:00"
20,1008,40,304,8,"2019-05-13 07:00:00"
20,1008,28,303,8,"2019-05-13 08:00:00"
22,1009,16,302,9,"2019-05-13 09:00:00"
24,1008,10,298,11,"2019-05-13 10:00:00"
24,1008,5,294,14,"2019-05-13 11:00:00"
26,1008,0,290,16,"2019-05-13 12:00:00"
24,1007,0,288,18,"2019-05-13 13:00:00"
24,1006,0,286,20,"2019-05-13 14:00:00"
24,1006,0,284,22,"2019-05-13 15:00:00"
24,1006,0,282,20,"2019-05-13 16:00:00"
22,1006,0,280,19,"2019-05-13 17:00:00"
22,1006,0,278,18,"2019-05-13 18:00:00"
20,1006,1,277,16,"2019-05-13 19:00:00"
18,1007,1,276,14,"2019-05-13 20:00:00"
16,1007,1,275,13,"2019-05-13 21:00:00"
16,1007,1,282,12,"2019-05-13 22:00:00"
16,1007,2,289,11,"2019-05-13 23:00:00"
16,1007,2,297,11,"2019-05-14 00:00:00"
18,1007,6,304,11,"2019-05-14 01:00:00"
18,1007,10,311,10,"2019-05-14 02:00:00"
20,1007,15,318,10,"2019-05-14 03:00:00"
20,1007,21,320,9,"2019-05-14 04:00:00"
20,1007,27,323,8,"2019-05-14 05:00:00"
18,1007,33,326,8,"2019-05-14 06:00:00"
20,1007,29,320,8,"2019-05-14 07:00:00"
20,1008,26,314,8,"2019-05-14 08:00:00"
22,1008,22,309,8,"2019-05-14 09:00:00"
22,1008,15,301,10,"2019-05-14 10:00:00"
24,1008,7,294,13,"2019-05-14 11:00:00"
24,1008,0,286,16,"2019-05-14 12:00:00"
24,1007,0,286,18,"2019-05-14 13:00:00"
24,1007,0,285,20,"2019-05-14 14:00:00"
22,1006,0,285,22,"2019-05-14 15:00:00"
22,1006,0,285,20,"2019-05-14 16:00:00"
22,1006,0,284,19,"2019-05-14 17:00:00"
22,1006,0,284,18,"2019-05-14 18:00:00"
20,1006,0,284,16,"2019-05-14 19:00:00"
18,1006,0,284,14,"2019-05-14 20:00:00"
16,1006,0,284,12,"2019-05-14 21:00:00"
16,1006,1,284,10,"2019-05-14 22:00:00"
16,1007,3,285,9,"2019-05-14 23:00:00"
16,1007,4,285,8,"2019-05-15 00:00:00"
16,1006,11,281,7,"2019-05-15 01:00:00"
18,1006,18,277,6,"2019-05-15 02:00:00"
20,1006,25,274,5,"2019-05-15 03:00:00"
18,1006,31,276,6,"2019-05-15 04:00:00"
18,1006,37,278,6,"2019-05-15 05:00:00"
18,1006,42,281,6,"2019-05-15 06:00:00"
20,1007,35,286,8,"2019-05-15 07:00:00"
20,1007,28,291,10,"2019-05-15 08:00:00"
22,1007,21,296,11,"2019-05-15 09:00:00"
22,1007,14,295,13,"2019-05-15 10:00:00"
24,1007,7,294,16,"2019-05-15 11:00:00"
24,1006,0,293,18,"2019-05-15 12:00:00"
24,1006,0,291,19,"2019-05-15 13:00:00"
24,1005,0,290,20,"2019-05-15 14:00:00"
24,1005,0,289,21,"2019-05-15 15:00:00"
24,1005,0,288,20,"2019-05-15 16:00:00"
24,1005,0,287,19,"2019-05-15 17:00:00"
22,1004,0,286,17,"2019-05-15 18:00:00"
22,1005,0,284,15,"2019-05-15 19:00:00"
20,1005,0,282,13,"2019-05-15 20:00:00"
18,1005,0,281,11,"2019-05-15 21:00:00"
18,1005,0,274,10,"2019-05-15 22:00:00"
18,1005,1,267,8,"2019-05-15 23:00:00"
18,1005,1,260,7,"2019-05-16 00:00:00"
18,1005,7,252,8,"2019-05-16 01:00:00"
20,1005,13,244,8,"2019-05-16 02:00:00"
20,1005,19,236,9,"2019-05-16 03:00:00"
20,1005,27,238,9,"2019-05-16 04:00:00"
20,1006,35,241,8,"2019-05-16 05:00:00"
18,1006,43,244,8,"2019-05-16 06:00:00"
20,1006,36,249,9,"2019-05-16 07:00:00"
20,1007,30,253,10,"2019-05-16 08:00:00"
20,1007,23,258,11,"2019-05-16 09:00:00"
22,1007,15,264,13,"2019-05-16 10:00:00"
22,1007,8,269,15,"2019-05-16 11:00:00"
24,1006,0,275,17,"2019-05-16 12:00:00"
24,1006,0,274,18,"2019-05-16 13:00:00"
24,1005,0,273,19,"2019-05-16 14:00:00"
24,1005,0,273,20,"2019-05-16 15:00:00"
24,1005,0,270,19,"2019-05-16 16:00:00"
24,1005,0,268,17,"2019-05-16 17:00:00"
22,1004,0,265,16,"2019-05-16 18:00:00"
20,1005,1,264,15,"2019-05-16 19:00:00"
20,1005,1,263,13,"2019-05-16 20:00:00"
18,1006,2,263,12,"2019-05-16 21:00:00"
16,1006,11,270,11,"2019-05-16 22:00:00"
16,1006,21,278,11,"2019-05-16 23:00:00"
14,1006,30,285,10,"2019-05-17 00:00:00"
16,1006,44,291,9,"2019-05-17 01:00:00"
16,1005,57,297,8,"2019-05-17 02:00:00"
18,1005,70,302,8,"2019-05-17 03:00:00"
18,1005,62,293,7,"2019-05-17 04:00:00"
18,1005,54,284,7,"2019-05-17 05:00:00"
18,1006,45,275,6,"2019-05-17 06:00:00"
20,1006,36,262,7,"2019-05-17 07:00:00"
20,1006,27,249,8,"2019-05-17 08:00:00"
22,1007,18,236,9,"2019-05-17 09:00:00"
22,1007,12,240,11,"2019-05-17 10:00:00"
24,1006,7,244,14,"2019-05-17 11:00:00"
24,1006,1,247,16,"2019-05-17 12:00:00"
24,1006,2,252,18,"2019-05-17 13:00:00"
24,1005,2,256,19,"2019-05-17 14:00:00"
22,1005,3,260,20,"2019-05-17 15:00:00"
22,1005,3,260,19,"2019-05-17 16:00:00"
22,1005,4,260,18,"2019-05-17 17:00:00"
22,1005,4,259,17,"2019-05-17 18:00:00"
22,1005,9,258,15,"2019-05-17 19:00:00"
22,1005,15,256,14,"2019-05-17 20:00:00"
22,1005,20,255,13,"2019-05-17 21:00:00"
20,1006,32,254,12,"2019-05-17 22:00:00"
20,1006,45,254,11,"2019-05-17 23:00:00"
18,1006,57,253,11,"2019-05-18 00:00:00"
18,1006,63,251,11,"2019-05-18 01:00:00"
18,1006,69,250,11,"2019-05-18 02:00:00"
18,1006,75,248,10,"2019-05-18 03:00:00"
18,1006,73,244,10,"2019-05-18 04:00:00"
20,1006,70,240,10,"2019-05-18 05:00:00"
20,1007,68,236,10,"2019-05-18 06:00:00"
20,1007,54,234,11,"2019-05-18 07:00:00"
20,1008,39,233,12,"2019-05-18 08:00:00"
22,1009,25,231,12,"2019-05-18 09:00:00"
22,1008,16,235,14,"2019-05-18 10:00:00"
22,1008,8,240,16,"2019-05-18 11:00:00"
24,1008,0,244,18,"2019-05-18 12:00:00"
24,1007,0,246,19,"2019-05-18 13:00:00"
22,1007,0,248,20,"2019-05-18 14:00:00"
22,1006,1,250,21,"2019-05-18 15:00:00"
22,1006,3,249,20,"2019-05-18 16:00:00"
22,1006,4,248,19,"2019-05-18 17:00:00"
22,1006,6,248,18,"2019-05-18 18:00:00"
22,1006,13,246,16,"2019-05-18 19:00:00"
22,1007,20,244,15,"2019-05-18 20:00:00"
20,1007,26,242,13,"2019-05-18 21:00:00"
20,1007,34,246,12,"2019-05-18 22:00:00"
20,1007,41,250,11,"2019-05-18 23:00:00"
20,1008,48,255,10,"2019-05-19 00:00:00"
20,1007,50,257,9,"2019-05-19 01:00:00"
20,1007,52,260,9,"2019-05-19 02:00:00"
20,1006,54,263,8,"2019-05-19 03:00:00"
20,1007,57,257,8,"2019-05-19 04:00:00"
20,1007,60,251,8,"2019-05-19 05:00:00"
20,1007,63,245,8,"2019-05-19 06:00:00"
20,1007,57,246,9,"2019-05-19 07:00:00"
20,1008,50,247,9,"2019-05-19 08:00:00"
20,1008,44,248,10,"2019-05-19 09:00:00"
22,1008,31,249,13,"2019-05-19 10:00:00"
22,1007,18,249,15,"2019-05-19 11:00:00"
22,1007,5,250,18,"2019-05-19 12:00:00"
22,1007,4,251,19,"2019-05-19 13:00:00"
22,1006,3,252,20,"2019-05-19 14:00:00"
22,1006,1,253,21,"2019-05-19 15:00:00"
22,1006,3,252,20,"2019-05-19 16:00:00"
22,1006,4,252,19,"2019-05-19 17:00:00"
22,1006,5,251,18,"2019-05-19 18:00:00"
22,1006,11,249,17,"2019-05-19 19:00:00"
22,1006,16,247,16,"2019-05-19 20:00:00"
20,1007,22,244,15,"2019-05-19 21:00:00"
20,1007,32,245,14,"2019-05-19 22:00:00"
20,1007,42,245,14,"2019-05-19 23:00:00"
20,1007,52,246,13,"2019-05-20 00:00:00"
18,1007,55,243,13,"2019-05-20 01:00:00"
18,1007,58,240,13,"2019-05-20 02:00:00"
18,1006,61,237,12,"2019-05-20 03:00:00"
18,1007,65,235,13,"2019-05-20 04:00:00"
18,1007,69,232,13,"2019-05-20 05:00:00"
18,1007,73,230,13,"2019-05-20 06:00:00"
18,1008,76,230,15,"2019-05-20 07:00:00"
20,1008,78,230,16,"2019-05-20 08:00:00"
20,1009,80,230,18,"2019-05-20 09:00:00"
20,1009,70,233,19,"2019-05-20 10:00:00"
22,1008,59,235,20,"2019-05-20 11:00:00"
22,1008,49,238,21,"2019-05-20 12:00:00"
22,1008,36,240,21,"2019-05-20 13:00:00"
22,1007,23,243,21,"2019-05-20 14:00:00"
22,1006,10,246,21,"2019-05-20 15:00:00"
22,1006,16,243,21,"2019-05-20 16:00:00"
22,1006,21,240,21,"2019-05-20 17:00:00"
20,1006,27,238,21,"2019-05-20 18:00:00"
20,1006,35,236,20,"2019-05-20 19:00:00"
20,1007,43,235,19,"2019-05-20 20:00:00"
20,1007,51,234,18,"2019-05-20 21:00:00"
20,1007,57,238,16,"2019-05-20 22:00:00"
20,1007,64,242,15,"2019-05-20 23:00:00"
20,1007,70,246,14,"2019-05-21 00:00:00"
18,1007,69,248,14,"2019-05-21 01:00:00"
18,1007,68,251,13,"2019-05-21 02:00:00"
18,1006,67,254,13,"2019-05-21 03:00:00"
18,1007,67,252,12,"2019-05-21 04:00:00"
18,1007,67,250,12,"2019-05-21 05:00:00"
20,1007,68,248,11,"2019-05-21 06:00:00"
20,1007,73,247,11,"2019-05-21 07:00:00"
20,1008,79,246,12,"2019-05-21 08:00:00"
22,1008,84,245,12,"2019-05-21 09:00:00"
22,1008,75,250,14,"2019-05-21 10:00:00"
22,1007,65,256,16,"2019-05-21 11:00:00"
24,1007,55,261,18,"2019-05-21 12:00:00"
24,1006,38,265,19,"2019-05-21 13:00:00"
22,1006,21,268,20,"2019-05-21 14:00:00"
22,1006,4,272,21,"2019-05-21 15:00:00"
22,1005,6,273,19,"2019-05-21 16:00:00"
22,1005,7,275,18,"2019-05-21 17:00:00"
22,1005,8,277,17,"2019-05-21 18:00:00"
22,1005,10,282,16,"2019-05-21 19:00:00"
22,1006,12,286,15,"2019-05-21 20:00:00"
20,1006,14,291,14,"2019-05-21 21:00:00"
20,1006,19,289,14,"2019-05-21 22:00:00"
20,1006,24,287,14,"2019-05-21 23:00:00"
20,1006,29,285,14,"2019-05-22 00:00:00"
20,1006,39,273,13,"2019-05-22 01:00:00"
20,1006,48,261,12,"2019-05-22 02:00:00"
20,1005,57,248,11,"2019-05-22 03:00:00"
20,1005,60,253,10,"2019-05-22 04:00:00"
20,1006,63,257,10,"2019-05-22 05:00:00"
20,1006,65,261,9,"2019-05-22 06:00:00"
20,1006,60,258,10,"2019-05-22 07:00:00"
20,1007,54,256,10,"2019-05-22 08:00:00"
20,1008,48,253,11,"2019-05-22 09:00:00"
22,1007,34,259,13,"2019-05-22 10:00:00"
22,1007,20,264,15,"2019-05-22 11:00:00"
22,1007,7,270,17,"2019-05-22 12:00:00"
22,1006,5,273,18,"2019-05-22 13:00:00"
24,1005,3,277,19,"2019-05-22 14:00:00"
24,1005,2,280,21,"2019-05-22 15:00:00"
24,1005,2,281,19,"2019-05-22 16:00:00"
24,1004,3,281,18,"2019-05-22 17:00:00"
24,1004,3,282,17,"2019-05-22 18:00:00"
22,1004,6,282,16,"2019-05-22 19:00:00"
22,1005,9,283,15,"2019-05-22 20:00:00"
22,1005,12,283,14,"2019-05-22 21:00:00"
20,1005,21,283,13,"2019-05-22 22:00:00"
20,1005,30,284,12,"2019-05-22 23:00:00"
20,1005,39,284,12,"2019-05-23 00:00:00"
20,1005,49,279,11,"2019-05-23 01:00:00"
20,1005,59,273,10,"2019-05-23 02:00:00"
20,1005,68,268,10,"2019-05-23 03:00:00"
20,1005,67,260,9,"2019-05-23 04:00:00"
20,1006,66,253,9,"2019-05-23 05:00:00"
20,1006,64,245,9,"2019-05-23 06:00:00"
20,1007,52,244,10,"2019-05-23 07:00:00"
20,1007,41,243,10,"2019-05-23 08:00:00"
22,1008,29,243,11,"2019-05-23 09:00:00"
22,1007,21,253,13,"2019-05-23 10:00:00"
22,1007,13,264,15,"2019-05-23 11:00:00"
24,1007,5,275,17,"2019-05-23 12:00:00"
24,1006,5,278,18,"2019-05-23 13:00:00"
24,1005,5,280,20,"2019-05-23 14:00:00"
24,1005,5,283,21,"2019-05-23 15:00:00"
22,1005,5,285,20,"2019-05-23 16:00:00"
22,1004,5,287,18,"2019-05-23 17:00:00"
22,1004,6,289,17,"2019-05-23 18:00:00"
22,1005,6,291,16,"2019-05-23 19:00:00"
22,1005,6,292,15,"2019-05-23 20:00:00"
22,1005,6,294,14,"2019-05-23 21:00:00"
22,1005,11,293,13,"2019-05-23 22:00:00"
20,1005,17,293,12,"2019-05-23 23:00:00"
20,1006,22,292,11,"2019-05-24 00:00:00"
20,1005,35,285,10,"2019-05-24 01:00:00"
20,1005,47,277,9,"2019-05-24 02:00:00"
20,1005,60,270,9,"2019-05-24 03:00:00"
18,1005,67,260,9,"2019-05-24 04:00:00"
18,1006,73,250,10,"2019-05-24 05:00:00"
18,1006,80,241,10,"2019-05-24 06:00:00"
18,1007,74,244,10,"2019-05-24 07:00:00"
20,1007,68,248,10,"2019-05-24 08:00:00"
20,1008,63,252,10,"2019-05-24 09:00:00"
20,1007,53,255,12,"2019-05-24 10:00:00"
22,1007,44,259,13,"2019-05-24 11:00:00"
22,1007,35,262,14,"2019-05-24 12:00:00"
22,1006,26,265,16,"2019-05-24 13:00:00"
22,1006,17,268,17,"2019-05-24 14:00:00"
24,1005,8,271,19,"2019-05-24 15:00:00"
22,1005,10,269,18,"2019-05-24 16:00:00"
22,1005,12,268,18,"2019-05-24 17:00:00"
22,1005,14,266,17,"2019-05-24 18:00:00"
22,1005,21,264,16,"2019-05-24 19:00:00"
20,1005,28,261,15,"2019-05-24 20:00:00"
20,1006,35,259,14,"2019-05-24 21:00:00"
20,1006,44,258,14,"2019-05-24 22:00:00"
20,1006,54,258,13,"2019-05-24 23:00:00"
20,1006,63,257,13,"2019-05-25 00:00:00"
20,1006,69,257,12,"2019-05-25 01:00:00"
18,1006,74,256,11,"2019-05-25 02:00:00"
18,1005,80,256,11,"2019-05-25 03:00:00"
18,1005,83,252,11,"2019-05-25 04:00:00"
18,1006,87,248,12,"2019-05-25 05:00:00"
18,1006,91,244,12,"2019-05-25 06:00:00"
20,1006,89,237,13,"2019-05-25 07:00:00"
20,1007,86,229,15,"2019-05-25 08:00:00"
20,1008,84,222,17,"2019-05-25 09:00:00"
20,1008,69,227,17,"2019-05-25 10:00:00"
22,1007,54,231,17,"2019-05-25 11:00:00"
22,1007,39,236,17,"2019-05-25 12:00:00"
22,1006,28,246,17,"2019-05-25 13:00:00"
24,1005,17,256,16,"2019-05-25 14:00:00"
24,1004,5,267,16,"2019-05-25 15:00:00"
24,1004,5,272,16,"2019-05-25 16:00:00"
24,1003,6,277,15,"2019-05-25 17:00:00"
24,1003,6,282,14,"2019-05-25 18:00:00"
24,1003,6,280,13,"2019-05-25 19:00:00"
24,1004,6,279,12,"2019-05-25 20:00:00"
22,1004,6,277,12,"2019-05-25 21:00:00"
22,1004,7,274,12,"2019-05-25 22:00:00"
22,1005,8,271,12,"2019-05-25 23:00:00"
22,1005,10,268,12,"2019-05-26 00:00:00"
20,1005,20,256,12,"2019-05-26 01:00:00"
20,1004,30,243,12,"2019-05-26 02:00:00"
20,1004,40,231,12,"2019-05-26 03:00:00"
18,1005,54,229,13,"2019-05-26 04:00:00"
18,1005,68,228,13,"2019-05-26 05:00:00"
18,1005,83,227,13,"2019-05-26 06:00:00"
18,1005,81,228,13,"2019-05-26 07:00:00"
20,1006,80,229,13,"2019-05-26 08:00:00"
20,1006,79,230,13,"2019-05-26 09:00:00"
20,1006,69,236,14,"2019-05-26 10:00:00"
22,1006,59,241,15,"2019-05-26 11:00:00"
22,1005,49,247,15,"2019-05-26 12:00:00"
22,1005,36,251,17,"2019-05-26 13:00:00"
24,1004,23,256,19,"2019-05-26 14:00:00"
24,1004,10,260,21,"2019-05-26 15:00:00"
24,1004,13,257,20,"2019-05-26 16:00:00"
22,1003,16,254,19,"2019-05-26 17:00:00"
22,1003,18,251,19,"2019-05-26 18:00:00"
22,1004,20,245,17,"2019-05-26 19:00:00"
22,1004,22,240,16,"2019-05-26 20:00:00"
22,1004,24,234,14,"2019-05-26 21:00:00"
22,1004,22,220,13,"2019-05-26 22:00:00"
22,1004,20,207,11,"2019-05-26 23:00:00"
22,1004,17,193,9,"2019-05-27 00:00:00"
22,1004,18,186,7,"2019-05-27 01:00:00"
22,1004,19,178,5,"2019-05-27 02:00:00"
22,1003,19,171,3,"2019-05-27 03:00:00"
22,1003,23,193,5,"2019-05-27 04:00:00"
22,1003,27,214,7,"2019-05-27 05:00:00"
20,1003,32,236,8,"2019-05-27 06:00:00"
20,1004,39,240,8,"2019-05-27 07:00:00"
22,1004,47,244,8,"2019-05-27 08:00:00"
22,1004,54,248,8,"2019-05-27 09:00:00"
22,1004,55,246,10,"2019-05-27 10:00:00"
22,1004,56,244,12,"2019-05-27 11:00:00"
24,1004,57,242,14,"2019-05-27 12:00:00"
24,1003,51,244,15,"2019-05-27 13:00:00"
24,1003,44,246,16,"2019-05-27 14:00:00"
24,1002,38,248,17,"2019-05-27 15:00:00"
24,1002,39,242,18,"2019-05-27 16:00:00"
24,1002,39,235,20,"2019-05-27 17:00:00"
22,1002,40,228,21,"2019-05-27 18:00:00"
22,1002,45,219,21,"2019-05-27 19:00:00"
22,1003,49,210,22,"2019-05-27 20:00:00"
22,1003,54,200,22,"2019-05-27 21:00:00"
20,1003,47,195,22,"2019-05-27 22:00:00"
20,1003,40,191,21,"2019-05-27 23:00:00"
20,1003,33,186,21,"2019-05-28 00:00:00"
20,1003,43,187,21,"2019-05-28 01:00:00"
20,1002,53,188,22,"2019-05-28 02:00:00"
20,1002,64,188,22,"2019-05-28 03:00:00"
20,1002,63,186,19,"2019-05-28 04:00:00"
20,1002,62,183,17,"2019-05-28 05:00:00"
20,1002,61,180,14,"2019-05-28 06:00:00"
22,1002,48,187,11,"2019-05-28 07:00:00"
22,1003,35,194,7,"2019-05-28 08:00:00"
24,1003,22,202,4,"2019-05-28 09:00:00"
24,1003,33,223,8,"2019-05-28 10:00:00"
24,1003,43,244,11,"2019-05-28 11:00:00"
24,1002,53,265,15,"2019-05-28 12:00:00"
24,1002,66,247,18,"2019-05-28 13:00:00"
22,1002,79,230,21,"2019-05-28 14:00:00"
22,1002,92,212,24,"2019-05-28 15:00:00"
22,1001,85,216,20,"2019-05-28 16:00:00"
22,1001,78,220,17,"2019-05-28 17:00:00"
22,1001,70,224,13,"2019-05-28 18:00:00"
22,1001,67,214,12,"2019-05-28 19:00:00"
22,1001,64,204,10,"2019-05-28 20:00:00"
22,1001,62,194,9,"2019-05-28 21:00:00"
22,1001,60,154,11,"2019-05-28 22:00:00"
22,1001,59,113,13,"2019-05-28 23:00:00"
22,1000,57,73,15,"2019-05-29 00:00:00"
22,999,55,86,17,"2019-05-29 01:00:00"
22,999,53,99,18,"2019-05-29 02:00:00"
24,998,51,111,19,"2019-05-29 03:00:00"
22,998,61,119,23,"2019-05-29 04:00:00"
22,998,71,126,26,"2019-05-29 05:00:00"
22,998,81,134,30,"2019-05-29 06:00:00"
20,999,78,141,33,"2019-05-29 07:00:00"
20,999,74,149,36,"2019-05-29 08:00:00"
20,1000,71,157,39,"2019-05-29 09:00:00"
20,1000,74,162,40,"2019-05-29 10:00:00"
20,1000,77,167,42,"2019-05-29 11:00:00"
22,1000,80,172,43,"2019-05-29 12:00:00"
20,1000,82,173,42,"2019-05-29 13:00:00"
20,999,84,174,42,"2019-05-29 14:00:00"
20,999,86,175,41,"2019-05-29 15:00:00"
18,999,83,176,42,"2019-05-29 16:00:00"
18,999,80,177,42,"2019-05-29 17:00:00"
16,1000,77,178,42,"2019-05-29 18:00:00"
14,1000,83,179,43,"2019-05-29 19:00:00"
10,1000,90,180,43,"2019-05-29 20:00:00"
8,1001,96,180,44,"2019-05-29 21:00:00"
8,1001,94,181,43,"2019-05-29 22:00:00"
8,1001,93,182,43,"2019-05-29 23:00:00"
8,1001,91,182,43,"2019-05-30 00:00:00"
12,1001,85,185,43,"2019-05-30 01:00:00"
14,1001,79,188,43,"2019-05-30 02:00:00"
18,1001,73,191,43,"2019-05-30 03:00:00"
18,1001,73,193,42,"2019-05-30 04:00:00"
18,1001,73,195,42,"2019-05-30 05:00:00"
18,1001,73,197,41,"2019-05-30 06:00:00"
18,1002,72,198,41,"2019-05-30 07:00:00"
20,1003,71,198,40,"2019-05-30 08:00:00"
20,1003,70,198,40,"2019-05-30 09:00:00"
20,1003,67,199,39,"2019-05-30 10:00:00"
22,1003,65,199,38,"2019-05-30 11:00:00"
22,1004,62,200,37,"2019-05-30 12:00:00"
22,1003,68,200,35,"2019-05-30 13:00:00"
22,1003,74,201,34,"2019-05-30 14:00:00"
22,1003,80,201,32,"2019-05-30 15:00:00"
22,1003,77,200,32,"2019-05-30 16:00:00"
22,1003,73,198,31,"2019-05-30 17:00:00"
22,1003,70,197,30,"2019-05-30 18:00:00"
22,1003,70,192,30,"2019-05-30 19:00:00"
20,1004,69,188,30,"2019-05-30 20:00:00"
20,1004,69,183,31,"2019-05-30 21:00:00"
20,1004,72,182,32,"2019-05-30 22:00:00"
20,1004,74,182,33,"2019-05-30 23:00:00"
18,1004,77,182,34,"2019-05-31 00:00:00"
18,1004,77,185,33,"2019-05-31 01:00:00"
18,1003,77,188,33,"2019-05-31 02:00:00"
18,1003,77,191,32,"2019-05-31 03:00:00"
18,1003,80,191,32,"2019-05-31 04:00:00"
18,1003,83,190,31,"2019-05-31 05:00:00"
18,1003,86,190,31,"2019-05-31 06:00:00"
18,1003,86,185,32,"2019-05-31 07:00:00"
18,1004,86,181,34,"2019-05-31 08:00:00"
18,1004,85,176,35,"2019-05-31 09:00:00"
18,1004,80,181,36,"2019-05-31 10:00:00"
20,1004,75,185,36,"2019-05-31 11:00:00"
20,1004,70,190,37,"2019-05-31 12:00:00"
20,1004,73,192,37,"2019-05-31 13:00:00"
20,1003,76,195,36,"2019-05-31 14:00:00"
20,1003,78,197,36,"2019-05-31 15:00:00"
20,1003,78,197,35,"2019-05-31 16:00:00"
20,1003,78,196,34,"2019-05-31 17:00:00"
20,1003,78,196,33,"2019-05-31 18:00:00"
18,1004,76,191,33,"2019-05-31 19:00:00"
18,1004,73,187,33,"2019-05-31 20:00:00"
18,1005,71,182,33,"2019-05-31 21:00:00"
18,1005,62,179,33,"2019-05-31 22:00:00"
18,1005,53,176,33,"2019-05-31 23:00:00"
18,1004,44,173,33,"2019-06-01 00:00:00"
16,1004,53,173,33,"2019-06-01 01:00:00"
16,1003,62,173,33,"2019-06-01 02:00:00"
16,1003,71,174,32,"2019-06-01 03:00:00"
16,1003,75,174,32,"2019-06-01 04:00:00"
16,1003,79,174,31,"2019-06-01 05:00:00"
18,1003,83,174,31,"2019-06-01 06:00:00"
18,1004,81,177,31,"2019-06-01 07:00:00"
18,1005,79,180,32,"2019-06-01 08:00:00"
20,1005,77,183,32,"2019-06-01 09:00:00"
20,1005,79,186,32,"2019-06-01 10:00:00"
20,1005,81,190,33,"2019-06-01 11:00:00"
22,1005,84,193,33,"2019-06-01 12:00:00"
22,1005,85,194,33,"2019-06-01 13:00:00"
22,1004,86,195,34,"2019-06-01 14:00:00"
22,1004,88,196,34,"2019-06-01 15:00:00"
20,1004,88,196,34,"2019-06-01 16:00:00"
20,1004,88,197,33,"2019-06-01 17:00:00"
20,1004,88,198,33,"2019-06-01 18:00:00"
20,1005,82,196,32,"2019-06-01 19:00:00"
18,1005,76,194,31,"2019-06-01 20:00:00"
18,1006,70,192,30,"2019-06-01 21:00:00"
18,1006,65,189,30,"2019-06-01 22:00:00"
18,1006,59,186,29,"2019-06-01 23:00:00"
18,1006,54,184,28,"2019-06-02 00:00:00"
18,1006,62,183,27,"2019-06-02 01:00:00"
18,1006,70,183,27,"2019-06-02 02:00:00"
18,1005,78,183,26,"2019-06-02 03:00:00"
18,1005,77,183,26,"2019-06-02 04:00:00"
18,1006,76,183,26,"2019-06-02 05:00:00"
18,1006,75,183,25,"2019-06-02 06:00:00"
18,1006,71,185,26,"2019-06-02 07:00:00"
20,1007,66,187,27,"2019-06-02 08:00:00"
20,1007,62,188,28,"2019-06-02 09:00:00"
20,1007,56,192,30,"2019-06-02 10:00:00"
22,1007,50,196,31,"2019-06-02 11:00:00"
22,1007,44,200,32,"2019-06-02 12:00:00"
22,1006,50,201,31,"2019-06-02 13:00:00"
22,1006,56,202,31,"2019-06-02 14:00:00"
22,1005,62,203,30,"2019-06-02 15:00:00"
